Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","5000","World","2000","2000","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","65.803382","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2001","2001","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","67.915783","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2002","2002","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","69.157676","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2003","2003","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","70.85898","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2004","2004","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","73.101665","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2005","2005","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","75.010376","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2006","2006","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","77.690243","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2007","2007","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","79.985145","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2008","2008","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","84.538691","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2009","2009","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","84.945596","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","86.933924","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","90.587602","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","93.002552","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","95.609554","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","98.323016","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","100.192664","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","102.41382","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","105.162068","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","108.748779","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","112.913997","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","116.500635","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5000","World","2021","2021","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","124.151547","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
